species,lon,lat,oppc,n
fulanus_fulanus,-51.883333,3.8,203,1088
fulanus_fulanus,-52.633333,2.333333,438,1088
fulanus_fulanus,-54.70830154,-2.443059921,1224,1088
fulanus_fulanus,-67.0579264,1.9218151,488,1088
fulanus_fulanus,-63.0208,-7.50611,1997,1088
fulanus_fulanus,-60.3208,-2.5636,1213,1088
fulanus_fulanus,-60.2074814,-2.9591396,1292,1088
fulanus_fulanus,-60.3236344,-2.6235947,1213,1088
fulanus_fulanus,-68.8722,-3.3783,1354,1088
fulanus_fulanus,-66.1,0.833333333,648,1088
fulanus_fulanus,-67.05,1.93,488,1088
fulanus_fulanus,-67.06666,1.91666,488,1088
fulanus_fulanus,-66.16666,0.83333,648,1088
fulanus_fulanus,-66.0833333,0.8333333,648,1088
fulanus_fulanus,-68.8,-3.45,1354,1088
fulanus_fulanus,-59.96666,-2.88333,1293,1088
fulanus_fulanus,-66.13333,0.83333,648,1088
fulanus_fulanus,-66.16,0.83,648,1088
fulanus_fulanus,-67.08,1.91,488,1088
fulanus_fulanus,-66.08,0.83,648,1088
fulanus_fulanus,-63.4,3.333333,259,1088
fulanus_fulanus,-56.775278,-9.329722,2326,1088
fulanus_fulanus,-52.58169937,-1.523329973,1070,1088
fulanus_fulanus,-44.833333,-2.45,1244,1088
fulanus_fulanus,-59.97,-2.883333,1293,1088
fulanus_fulanus,-63.56,2.713056,416,1088
fulanus_fulanus,-36.033075,-9.057206,2288,1088
fulanus_fulanus,-36.29610062,-9.255279541,2367,1088
fulanus_fulanus,-36.24079895,-9.371390343,2367,1088
fulanus_fulanus,-36.47109985,-9.318889618,2367,1088
fulanus_fulanus,-35.939472,-9.290528,2368,1088
fulanus_fulanus,-46.79830556,-1.01308333,1003,1088
fulanus_fulanus,-39.713944,-13.566667,2992,1088
fulanus_fulanus,-39.4133,-16.8633333,3546,1088
fulanus_fulanus,-35.5608,-9.3183,2368,1088
fulanus_fulanus,-39.14920044,-13.73219967,2993,1088
fulanus_fulanus,-39.566667,-16.366667,3466,1088
