"biosphere","life_style","ecosystem","habitat","latitude","longitude","microGroup","meanAbu","meanRich"
"freshwater","free-living","freshwater","river",39.633364,-77.450235,"CPR",0.00810688848609738,85
"freshwater","free-living","freshwater","river",39.633364,-77.450235,"DPANN",0.00011080943534821,6
"freshwater","free-living","freshwater","river",39.661676,-77.481384,"Bonafide",0.987330582401804,58
"freshwater","free-living","freshwater","river",39.661676,-77.481384,"CPR",0.0125399476395529,85
"freshwater","free-living","freshwater","river",39.661676,-77.481384,"DPANN",0.00012946995864283,6
"freshwater","free-living","freshwater","river",39.672006,-77.454977,"Bonafide",0.991368537938797,58
"freshwater","free-living","freshwater","river",39.672006,-77.454977,"CPR",0.00852518562446669,85
"freshwater","free-living","freshwater","river",39.672006,-77.454977,"DPANN",0.00010627643673639,6
"freshwater","free-living","freshwater","river",40.585,-105.084,"Bonafide",0.991532086818192,55.6
"freshwater","free-living","freshwater","river",40.585,-105.084,"CPR",0.00811176193727386,84
"freshwater","free-living","freshwater","river",40.585,-105.084,"DPANN",0.00035615124453365,5.4
"freshwater","free-living","freshwater","river",41.28714,-77.32458,"Bonafide",0.941081568681268,56
"freshwater","free-living","freshwater","river",41.28714,-77.32458,"CPR",0.0580900085520004,86
"freshwater","free-living","freshwater","river",41.28714,-77.32458,"DPANN",0.0008284227667312,6
"freshwater","free-living","freshwater","river",41.32943,-77.34448,"Bonafide",0.965195543486536,58
"freshwater","free-living","freshwater","river",41.32943,-77.34448,"CPR",0.0340417088684985,86
"freshwater","free-living","freshwater","river",41.32943,-77.34448,"DPANN",0.00076274764496473,6
"freshwater","free-living","freshwater","river",41.35398,-77.36202,"Bonafide",0.969008770735691,57
"freshwater","free-living","freshwater","river",41.35398,-77.36202,"CPR",0.0304567061261795,86
"freshwater","free-living","freshwater","river",41.35398,-77.36202,"DPANN",0.00053452313812866,6
"freshwater","free-living","freshwater","river",41.44967,-77.42759,"Bonafide",0.968953747406598,58
"freshwater","free-living","freshwater","river",41.44967,-77.42759,"CPR",0.030677200687112,86
"freshwater","free-living","freshwater","river",41.44967,-77.42759,"DPANN",0.00036905190629012,6
"freshwater","free-living","freshwater","river",41.5527,-77.61581,"Bonafide",0.971368832288551,58
"freshwater","free-living","freshwater","river",41.5527,-77.61581,"CPR",0.0279172479395901,86
"freshwater","free-living","freshwater","river",41.5527,-77.61581,"DPANN",0.00071391977185882,6
"freshwater","free-living","freshwater","river",41.8819,-87.6278,"Bonafide",0.993664739822332,35.7222222222222
"freshwater","free-living","freshwater","river",41.8819,-87.6278,"CPR",0.00624767980021528,28.7777777777778
"freshwater","free-living","freshwater","river",41.8819,-87.6278,"DPANN",8.758037745253e-05,1.55555555555556
"freshwater","free-living","freshwater","river",42.041005,-87.710676,"Bonafide",0.985456923730051,29.6792452830189
"freshwater","free-living","freshwater","river",42.041005,-87.710676,"CPR",0.0145037727360727,18.5094339622642
"freshwater","free-living","freshwater","river",42.041005,-87.710676,"DPANN",3.93035338763e-05,0.320754716981132
"freshwater","free-living","freshwater","river",43,-93,"Bonafide",0.994102872478032,49
"freshwater","free-living","freshwater","river",43,-93,"CPR",0.00569440810818594,61.5
"freshwater","free-living","freshwater","river",43,-93,"DPANN",0.00020271941378233,3.5
"freshwater","free-living","freshwater","river",43,-91,"Bonafide",0.99562621234765,48
"freshwater","free-living","freshwater","river",43,-91,"CPR",0.00414274104113426,63.5
"freshwater","free-living","freshwater","river",43,-91,"DPANN",0.00023104661121509,3.5
"freshwater","free-living","freshwater","river",44,-93,"Bonafide",0.993451616832776,42.8333333333333
"freshwater","free-living","freshwater","river",44,-93,"CPR",0.00630187058417717,56
"freshwater","free-living","freshwater","river",44,-93,"DPANN",0.0002465125830471,3.5
"freshwater","free-living","freshwater","river",44,-92,"Bonafide",0.993350759338351,51.6666666666667
"freshwater","free-living","freshwater","river",44,-92,"CPR",0.00634701678482941,74
"freshwater","free-living","freshwater","river",44,-92,"DPANN",0.0003022238768189,4.83333333333333
"freshwater","free-living","freshwater","river",44,-91,"Bonafide",0.993147722783154,51.5
"freshwater","free-living","freshwater","river",44,-91,"CPR",0.00660194901926331,74.5
"freshwater","free-living","freshwater","river",44,-91,"DPANN",0.00025032819758312,4.5
"freshwater","free-living","freshwater","river",45,-94,"Bonafide",0.993617666738869,53.6666666666667
"freshwater","free-living","freshwater","river",45,-94,"CPR",0.00613295503021917,81.3333333333333
"freshwater","free-living","freshwater","river",45,-94,"DPANN",0.00024937823091126,5
"freshwater","free-living","freshwater","river",46.21,-123.7975,"Bonafide",0.992730435438404,36.375
"freshwater","free-living","freshwater","river",46.21,-123.7975,"CPR",0.00612069827781476,26.375
"freshwater","free-living","freshwater","river",46.21,-123.7975,"DPANN",0.00114886628378064,2.375
"freshwater","free-living","freshwater","river",46.216667,-123.74,"Bonafide",0.992783748718232,37.4285714285714
"freshwater","free-living","freshwater","river",46.216667,-123.74,"CPR",0.00679882846903884,30.7142857142857
"freshwater","free-living","freshwater","river",46.216667,-123.74,"DPANN",0.00041742281272869,1.85714285714286
"freshwater","free-living","freshwater","river",46.224333,-123.74,"Bonafide",0.989755903290574,37.1428571428571
"freshwater","free-living","freshwater","river",46.224333,-123.74,"CPR",0.00948531974035842,30.8571428571429
